official_id,name_ar,city
1,جامعة أم القرى,مكة المكرمة
2,الجامعة الإسلامية,المدينة المنورة
3,جامعة الإمام محمد بن سعود الإسلامية,الرياض
4,جامعة الملك سعود,الرياض
5,جامعة الملك عبدالعزيز,جدة
6,جامعة الملك فهد للبترول والمعادن,الظهران
7,جامعة الملك فيصل,المنطقة الشرقية - مدينة الأحساء
8,جامعة الملك خالد,عسير - ابها
9,جامعة القصيم,القصيم
10,جامعة طيبة,المدينة المنورة
11,جامعة الطائف,الطائف
12,جامعة حائل,حائل
13,جامعة جازان,جازان
14,جامعة الجوف,طريق الملك خالد، سكاكا
15,جامعة الباحة,غرب المملكة على سلسلة جبال السروات
16,جامعة تبوك,تبوك
17,جامعة نجران,نجران - طريق الملك عبدالعزيز
18,جامعة الحدود الشمالية,الحدود الشمالية
19,جامعة الأميرة نورة بنت عبدالرحمن,طريق المطار، مطار الملك خالد الدولي، الرياض
20,جامعة الملك سعود بن عبدالعزيز للعلوم الصحية,الرياض
21,جامعة الإمام عبدالرحمن بن فيصل,الدمام
22,جامعة الأمير سطام بن عبدالعزيز,الخرج
23,جامعة شقراء,طريق الدوادمي، شقراء
24,جامعة المجمعة,المجمعة
25,الجامعة السعودية الإلكترونية,الرياض - طريق أبو بكر الصديق
26,جامعة جدة,جدة
27,جامعة بيشة,بيشة
28,جامعة الملك عبدالله للعلوم والتقنية,ثول
29,جامعة حفر الباطن,حفر الباطن
