official_id,name_ar,institution_type,city
1,الجامعة العربية المفتوحة,university,شارع الامير فيصل بن عبدالرحمن حي حطين
2,جامعة الأعمال والتكنولوجيا,university,جدة
3,جامعة الأمير سلطان,university,طريق رفحاء، الرياض
4,جامعة الأمير فهد بن سلطان,university,شارع الاردن، تبوك
5,جامعة الأمير محمد بن فهد,university,المنطقة الشرقية – الخبر - العزيزية
6,جامعة الأمير مقرن بن عبدالعزيز,university,المدينة المنورة
7,جامعة الفيصل,university,الرياض – حي المعذر
8,جامعة اليمامة,university,الرياض
9,جامعة دار العلوم,university,الرياض مخرج (7) -حي الفلاح -شارع الميزان
10,جامعة عفت,university,جدة، شارع قصر خزام، حي النزله اليمانيه
11,جامعة دار الحكمة,university,جدة - شارع الأمير ماجد - حي الفيحاء
12,جامعة رياض العلم,university,
13,جامعة المعرفة,university,محافظة الدرعية - الرياض
14,جامعة المستقبل,university,الطريق الدائرى الغربى، مخرج الحمر، بريدة
15,جامعة سليمان الراجحي,university,القصيم - البكيرية
16,كليات الخليج الأهلية,college,حفر الباطن
17,كليات الأصالة الأهلية,college,الدمام
18,كليات عنيزة الأهلية,college,القصيم - عنيزة
19,كلية ابن رشد للعلوم الإدارية,college,أبها – طريق الملك عبدالعزيز الدائري الشرقي
20,كلية ابن سينا الاهلية,college,جدة - حي المحجر
21,كلية الباحة الاهلية للعلوم,college,منطقة الباحة
22,كلية البترجي الطبية للعلوم والتكنولوجيا,college,جدة – أبحر الشمالية
23,كلية الريادة للعلوم الصحية,college,جدة الحي - الحمراء
24,كليات الريان الأهلية بالمدينة المنورة,college,المدينة المنورة -أبيار الماشية
25,كليات الشرق العربي للدراسات العليا,college,الرياض
26,كلية العناية الطبية,college,الرياض - حي القيروان
27,كلية الغد للعلوم الطبية التطبيقية,college,الرياض
29,كلية الرؤية لطب الأسنان والتمريض بجدة,college,مدينة جدة - ٧٣٢٧ - حي الريان، جدة ٢٣٦٤٣ - ٢٨٢٦
30,كليات بريدة الأهلية,college,بريدة
32,كلية سعد للتمريض والعلوم الصحية,college,المنطقة الشرقية - الخبر
33,كلية فقيه للعلوم الطبية,college,جدة – حي الحمراء
34,كلية محمد المانع للعلوم الطبية,college,الدمام – الراكة – حي الصفا
35,جامعة الفيصل – كلية الامير سلطان للإدارة,college,جدة – حي الحمراء
36,كلية الشمال للتمريض,college,4389 طريق الامير عبدالله بن جلوي، المحمدية، عرعر 73311 8953
37,كلية الرؤية بالرياض,college,مدينة الرياض – ٧٢١١ عبدالله الجاسر - إشبيلية الرياض ١٣٢٢٦ - ٣٨٣٠
39,كلية الفيحاء الأهلية,college,المنطقة الشرقية، مدينة الجبيل الصناعية
40,كلية الموسى للعلوم الصحية,college,الأحساء – المبرز - طريق عين نجم
42,كلية جدة العالمية الأهلية,college,جدة - شارع ابن رشيد الفهري
